0,Foresight,The Room Is Filled With People That Love You,2022-11-26T06:11:22Z
1,Jake Wesley Rogers,Lavender Forever,2022-11-26T05:59:08Z
2,Reina del Cid,Bernadette,2022-11-26T05:51:27Z
3,Dirt Poor Robins,Babylon,2022-11-23T18:13:50Z
4,The Greeting Committee,You've Got Me,2022-11-16T19:08:16Z
5,The Happy Fits,Little Words,2022-11-16T05:31:31Z
6,Liam Kazar,Shoes Too Tight,2022-11-09T19:23:10Z
7,Fever Dolls,Adeline,2022-11-03T14:55:31Z
8,Back to Yours,Mallory,2022-10-28T18:22:36Z
9,The Features,Lions,2022-10-28T12:37:03Z
10,Cain Culto,Witchyman,2022-10-26T20:49:20Z
11,alt-J,Breezeblocks,2022-10-22T02:11:52Z
12,Melt,Shy,2022-10-19T19:09:12Z
13,Nataly Dawn,Coffee Baby,2022-10-14T18:28:23Z
14,the bird and the bee,You're A Cad,2022-10-14T18:23:31Z
15,Joywave,F.E.A.R.,2022-10-08T23:15:05Z
16,Liza Anne,Bummer Days,2022-10-05T21:30:47Z
17,Sammy Rae & The Friends,Follow Me Like the Moon,2022-09-30T05:36:24Z
18,Sammy Rae & The Friends,Jackie Onassis,2022-09-30T05:34:39Z
19,Sammy Rae & The Friends,Flesh & Bone,2022-09-30T05:25:54Z
20,Sammy Rae & The Friends,Good Life,2022-09-28T21:01:01Z
21,Sammy Rae & The Friends,The Feeling,2022-09-28T20:57:25Z
22,Sammy Rae & The Friends,Kick It to Me,2022-09-28T20:49:56Z
23,Sammy Rae & The Friends,Talk It Up,2022-09-28T20:40:37Z
24,Philip Glass,Glassworks: VI. Closing,2022-09-28T16:31:36Z
25,Metric,Dead Disco,2022-09-11T06:08:35Z
26,Shayfer James,Ferryman,2022-09-05T04:42:30Z
27,Sammy Rae & The Friends,If It All Goes South,2022-09-05T04:38:36Z
28,Metric,White Gold,2022-09-05T03:07:57Z
29,Metric,Raw Sugar,2022-09-05T03:00:08Z
30,Metric,Grow Up and Blow Away,2022-09-05T02:48:03Z
31,Gin Wigmore,I Do,2022-09-05T02:22:10Z
32,Gin Wigmore,New Revolution,2022-09-05T02:22:07Z
33,Metric,Hustle Rose,2022-09-01T07:05:45Z
34,Gin Wigmore,Don't Stop,2022-08-28T23:46:11Z
35,Gin Wigmore,Oh My,2022-08-28T23:38:56Z
36,Gin Wigmore,Written In The Water,2022-08-28T23:35:54Z
37,Saint Motel,Move,2022-08-28T23:32:54Z
38,Ellie Dixon,CEO of Watching Television,2022-08-28T23:28:50Z
39,Ellie Dixon,Sucker,2022-08-28T23:28:24Z
40,Ellie Dixon,Space Out!,2022-08-28T23:27:55Z
41,Metric,Gimme Sympathy,2022-08-28T10:45:59Z
42,Pixies,Where Is My Mind? - Remastered,2022-08-28T10:34:58Z
43,David Bowie,Life on Mars? - 2015 Remaster,2022-08-28T10:33:54Z
44,Metric,Love Is A Place,2022-08-28T10:25:32Z
45,Metric,On a Slow Night,2022-08-28T09:51:18Z
46,Barenaked Ladies,One Week,2022-08-26T16:18:37Z
47,Metric,Combat Baby,2022-08-26T16:18:05Z
48,Talking Heads,Psycho Killer - 2005 Remaster,2022-08-22T00:55:15Z
49,Betcha,July,2022-08-17T19:18:50Z
50,Anya Marina,All the Same to Me,2022-06-14T20:25:24Z
51,Saint Motel,For Elise,2022-06-10T14:53:13Z
52,Miki Fiki,Kicks,2022-06-07T16:47:49Z
53,Ellie Dixon,Green Grass,2022-05-29T20:19:54Z
54,The Hush Sound,We Intertwined,2022-05-27T05:10:55Z
55,First to Eleven,Cooler Than Me,2022-05-27T04:43:28Z
56,Miki Fiki,Stranger,2022-05-17T07:02:44Z
57,alt-J,Left Hand Free,2022-05-11T07:10:09Z
58,Gen Hoshino,Comedy,2022-05-10T20:27:37Z
59,Adam Melchor,Begin Again,2022-05-09T03:36:18Z
60,Tai Verdes,Solamente,2022-05-03T04:50:04Z
61,Felix Hagan & the Family,Delirium Tremendous,2022-05-03T04:12:41Z
62,The Heydaze,New Religion,2022-04-18T06:57:39Z
63,Milky Chance,Stolen Dance,2022-04-16T02:47:12Z
64,Daisy the Great,Record Player (with AJR),2022-04-12T03:50:53Z
65,Ivory Layne,Green (Secret Songbook Sessions),2022-04-12T02:50:02Z
66,Anne Reburn,Always Right,2022-04-12T02:22:08Z
67,AJR,Bang!,2022-03-30T07:53:11Z
68,Call Security,Small Talk,2022-03-30T03:55:18Z
69,Ben Folds,Kylie from Connecticut,2022-03-18T05:13:54Z
70,Kane Brown,One Mississippi,2022-03-15T22:04:28Z
71,The Real Zebos,Your Ex Said You Can't Dance,2022-03-08T05:40:06Z
72,Statues of Cats,Seven Circles,2022-03-04T06:58:59Z
73,UPSAHL,Drugs,2022-03-04T06:45:57Z
74,Camille Saint-Saëns,"Danse Macabre, Op. 40, R.171",2022-02-28T07:02:36Z
75,Old Daisy,Nightlife,2022-02-28T02:20:10Z
76,Harrison Fjord,Game,2022-02-28T02:09:47Z
77,Magic Sugar Coffee,Dogs,2022-02-22T05:00:57Z
78,nân,Tình Đắng Như Ly Cà Phê,2022-02-18T03:56:06Z
79,FantasticYouth,外道讃歌,2022-02-18T03:46:44Z
80,Kick the Robot,Supermassive Automatic,2022-02-16T06:35:46Z
81,Em Beihold,Numb Little Bug,2022-02-13T05:18:42Z
82,Elysewood,Golden,2022-02-06T19:33:00Z
83,Arnaud Roy,Across the Drift (Riftborn Theme),2022-02-06T06:16:42Z
84,Ludovico Einaudi,Experience,2022-02-06T05:42:24Z
85,Ludovico Einaudi,Nuvole Bianche,2022-02-03T02:40:09Z
86,BESS,Ram pam pam,2022-02-01T04:49:41Z
87,Antonín Dvořák,"Serenade for Strings in E Major, Op. 22, B. 52: II. Tempo di valse",2022-01-31T06:02:57Z
88,The Hush Sound,The Boys Are Too Refined,2022-01-15T23:32:35Z
89,Jonah Green,Now You Know,2021-12-27T21:31:42Z
90,GRMLN,War,2021-12-26T19:37:01Z
91,The Happy Fits,Too Late,2021-12-24T21:19:24Z
92,Sia,Snowman,2021-12-23T21:35:11Z
93,The Happy Fits,"So Alright, Cool, Whatever",2021-12-23T07:12:46Z
94,Andy Leon,"Zanesville, Ohio",2021-12-23T05:19:19Z
95,Sia,Everyday Is Christmas,2021-12-23T03:52:18Z
96,Christina Perri,A Thousand Years,2021-12-23T03:50:58Z
97,Ezra Bell,Goat's Milk,2021-12-23T03:18:00Z
98,Nena,99 Luftballons,2021-12-20T05:27:12Z
99,Patent Pending,Six Feet,2021-12-20T04:34:29Z
100,Superfly,覚醒,2021-12-20T03:47:58Z
101,Fox Royale,Don't Call Me When You're Lonely,2021-12-16T05:54:25Z
102,Sara Jackson-Holman,Cellophane,2021-12-07T02:25:52Z
103,XTC,Dear God - Remastered 2001,2021-12-04T07:26:28Z
104,Gin Wigmore,Hey Ho,2021-11-29T01:03:24Z
105,11 Acorn Lane,Too Hot,2021-11-27T20:46:25Z
106,Bowling For Soup,Stacy's Mom,2021-11-24T21:22:09Z
107,Jenny Owen Youngs,Here is a Heart,2021-11-23T06:08:11Z
108,Molly Lewis,Pantsuit Sasquatch,2021-11-15T06:47:21Z
109,Gender Roles,Always,2021-11-13T03:29:42Z
110,Taylor Swift,You Belong With Me,2021-11-10T04:54:31Z
111,Arlie,didya think,2021-11-08T05:29:43Z
112,The Rigs,All the King's Men,2021-10-26T05:35:55Z
113,The Rigs,Devil's Playground,2021-10-26T05:35:54Z
114,Circadian Clock,Summer,2021-10-26T05:14:09Z
115,Back Alley Sound,Long Gone,2021-10-26T04:59:49Z
116,Sean Bertram,The Muffin Song,2021-10-22T04:31:59Z
117,Em Beihold,Infrared,2021-10-22T04:29:23Z
118,Занавес,Занавес,2021-10-20T04:58:07Z
119,Laufey,Like the Movies,2021-10-19T05:31:55Z
120,Flower Face,April to Death,2021-10-19T05:25:52Z
121,Louie Zong,Dog Named Dog,2021-10-19T05:16:25Z
122,Miki Fiki,Scrub,2021-10-14T04:44:41Z
123,Destroy Boys,Honey I'm Home,2021-10-11T06:36:37Z
124,Burn The Ballroom,Crazy,2021-10-11T06:17:04Z
125,Mother Mother,Arms Tonite,2021-10-05T06:23:36Z
126,Mother Mother,Burning Pile,2021-10-05T06:16:14Z
127,Ricky Montgomery,Talk to You,2021-10-03T19:39:14Z
128,Marney,Conversations,2021-09-18T04:51:59Z
129,Who's Molly?,Until I Found You,2021-09-17T04:08:26Z
130,Teddy Hyde,A Wistful Waltz,2021-09-16T06:27:05Z
131,Em Beihold,City of Angels,2021-09-12T08:33:07Z
132,Em Beihold,Groundhog Day,2021-09-12T08:33:06Z
133,Mother Mother,Body,2021-09-09T03:18:42Z
134,Mahogany Purple,Still Loving You,2021-09-09T03:18:26Z
135,OneSki,Static,2021-09-09T03:18:11Z
136,Pretty Vicious,Cave Song,2021-09-08T07:09:33Z
137,Piper Madison,Suicide Angel,2021-08-31T04:03:03Z
138,Piper Madison,I Miss You,2021-08-31T04:03:00Z
139,Olivia Rodrigo,good 4 u,2021-08-30T03:13:32Z
140,Back to Yours,Space Cadette,2021-08-30T03:13:31Z
141,Scott Helman,Sweet Tooth,2021-08-21T22:16:48Z
142,Stephanie Mabey,The Zombie Song,2021-08-21T20:01:18Z
143,Stephanie Mabey,The Zombie Song (Nightcore Version),2021-08-21T20:01:17Z
144,Nico Collins,Our Way Out,2021-08-21T19:50:49Z
145,Sarah and the Safe Word,"You're All Scotch, No Soda",2021-08-21T17:30:20Z
146,Etched in Blue,Wrapped Around Your Finger,2021-08-21T04:44:10Z
147,Penelope Scott,Feel Better,2021-08-21T04:40:10Z
148,Bug Hunter,The Key to Being Lonely,2021-08-21T03:19:49Z
149,Coyote Kid,Femme Fatale,2021-08-18T06:38:10Z
150,The 5:55,Want More of It,2021-08-18T04:35:59Z
151,Hot Freaks,Baby Boy,2021-08-17T06:39:02Z
152,leo.,despair,2021-08-16T04:33:35Z
153,hometown & young,Dressed In Violets,2021-08-14T01:56:18Z
154,Grace Victoria,Down in Virginia,2021-08-10T05:08:44Z
155,Mother Mother,All Gone,2021-08-10T05:08:42Z
156,My Kid Brother,Native Tongue,2021-07-21T02:59:51Z
157,Shoe,Egg,2021-07-17T23:05:10Z
158,Fitz and The Tantrums,I Just Wanna Shine,2021-07-12T04:26:06Z
159,Bad Pony,Zombie,2021-07-06T07:49:27Z
160,The Phantoms,Season of the Witch,2021-07-06T07:31:47Z
161,FOXTRAX,Grey Morning,2021-07-06T07:31:45Z
162,Dead Poet Society,CoDA,2021-07-04T00:52:42Z
163,Ferraro,wish you were gay,2021-07-03T18:49:30Z
164,Polite Fiction,Suzerainty,2021-07-03T18:20:03Z
165,Bantams,Honestly,2021-07-03T18:01:14Z
166,Dionysia,Zombie,2021-07-03T17:49:02Z
167,*repeat repeat,Everybody's Falling In Love,2021-07-03T17:48:32Z
168,GRMLN,27 Kids,2021-07-02T02:00:26Z
169,Eminem,Lose Yourself,2021-07-02T01:41:55Z
170,Mother Mother,Hayloft,2021-07-02T00:34:43Z
171,Maroon 5,This Love,2021-06-28T03:55:52Z
172,Jukebox The Ghost,It's No Secret,2021-06-28T03:46:39Z
173,Anthony Amorim,She Doesn't Sleep,2021-06-13T23:47:08Z
174,Hotel Mira,Jungle,2021-06-13T19:19:41Z
175,Electric Light Orchestra,Mr. Blue Sky,2021-06-12T19:23:06Z
176,The Littlest Man Band,Always Sayin',2021-06-05T05:57:34Z
177,WDL,Monster vs. Angel,2021-06-03T11:05:14Z
178,Rob Cantor,I'm Gonna Win,2021-06-03T07:19:42Z
179,Piper Madison,Good Gone Bad,2021-06-02T22:52:13Z
180,Swimming With Bears,Keep Smiling,2021-06-02T22:33:41Z
181,Will Wood and the Tapeworms,"Skeleton Appreciation Day in Vestal, N.Y. (Bones) [Remastered]",2021-06-02T21:28:43Z
182,My Chemical Romance,Teenagers,2021-06-02T21:20:54Z
183,Brick + Mortar,Terrible Things,2021-06-02T21:09:44Z
184,The People's Thieves,Falling Off,2021-06-02T21:05:31Z
185,"Clans, Marathon",Mrs. Fahrenheit,2021-06-02T20:58:13Z
186,The Pale White,Swim For Your Life,2021-06-02T20:53:54Z
187,The Happy Fits,Best Tears,2021-06-02T18:37:59Z
188,Andy Grammer,Sinner,2021-06-02T18:10:19Z
189,Us The Duo,Missin' You Like Crazy,2021-06-02T17:57:23Z
190,Your Neighbors,Chicken,2021-06-02T17:43:36Z
191,Autoheart,My Hallelujah,2021-06-02T17:30:10Z
192,Crash Adams,Caroline,2021-05-31T19:17:24Z
193,Statues of Cats,Animals Crying,2021-05-31T18:36:56Z
194,Sir Chloe,Animal,2021-05-31T06:42:13Z
195,Florence + The Machine,Bird Song,2021-05-31T01:07:20Z
196,Wild Ire,Ragtime Gal,2021-05-25T03:14:36Z
197,The Fratellis,Henrietta,2021-05-22T00:27:37Z
198,Miracle Musical,Labyrinth,2021-05-17T23:12:27Z
199,Attica Riots,No Hands,2021-05-17T18:49:44Z
200,Cojum Dip,"Waltz in E-Major, Op. 15 ""Moon Waltz""",2021-05-15T22:48:34Z
201,The Orion Experience,S.T.A.R. Child,2021-05-15T00:40:05Z
202,Scissor Sisters,I Can't Decide,2021-04-30T02:04:43Z
203,littleDEATH,Losemyhead,2021-04-23T01:36:53Z
204,MC Frontalot,Stoop Sale,2021-04-18T08:54:33Z
205,The Blake Robinson Synthetic Orchestra,An Unhealthy Obsession,2021-04-17T07:02:14Z
206,Griffinilla,Stay Calm (feat. Jeff Burgess),2021-04-17T06:28:51Z
207,Sir Chloe,Michelle,2021-04-17T02:46:05Z
208,Teddy Hyde,Sex with a Ghost,2021-04-16T23:35:39Z
209,Hello Atlantic,Night Life,2021-04-02T09:28:14Z
210,The Real Zebos,Rock Star Skinny,2021-03-31T05:09:26Z
211,The Scary Jokes,Community Gardens,2021-03-24T19:58:29Z
212,Penelope Scott,Sweet Hibiscus Tea,2021-03-20T05:39:17Z
213,The Happy Fits,Dirty Imbecile,2021-03-18T05:17:32Z
214,Piper Madison,Phonograph,2021-03-18T04:20:02Z
215,The Scary Jokes,Community Gardens,2021-03-08T03:05:34Z
216,fin,Ship in a Bottle,2021-03-06T06:26:27Z
217,The Altogether,Five Minutes,2021-03-01T20:07:59Z
218,Bear Ghost,Funkle Phil,2021-03-01T03:27:44Z
219,April Smith and the Great Picture Show,Colors,2021-03-01T03:23:10Z
220,Andy Leon,Blame,2021-02-26T06:56:19Z
221,Bug Hunter,Making up Words,2021-02-26T05:44:28Z
222,Motherfolk,Kill the Sun,2021-02-23T22:55:09Z
223,Johnny Hollow,Bloodsuckers,2021-02-22T23:42:21Z
224,AlicebanD,Turn Around,2021-02-21T20:26:24Z
225,Vagabond Opera,Farewell Kabarista,2021-02-21T20:05:48Z
226,Stephanie Mabey,Heart-Shaped Hologram,2021-02-19T05:48:57Z
227,Panic! At The Disco,The Ballad of Mona Lisa,2021-02-17T05:43:31Z
228,Shayfer James,Mercy Down,2021-02-14T23:21:42Z
229,The Hush Sound,Sweet Tangerine,2021-02-14T00:58:08Z
230,The Crane Wives,Can't Go Back,2021-02-14T00:35:11Z
231,Busted,Year 3000,2021-02-13T22:45:54Z
232,Cojum Dip,134340 Pluto,2021-02-13T19:53:12Z
233,Teddy Hyde,Sex with a Ghost,2021-02-09T07:21:19Z
234,The Crane Wives,Allies or Enemies,2021-02-09T07:08:25Z
235,The Orion Experience,The Cult of Dionysus,2021-02-09T07:05:58Z
236,Penelope Scott,Rät,2021-02-09T06:51:22Z
237,Kim Tillman,Evelyn,2021-02-09T06:37:00Z
238,Pepper Coyote,When I Die,2021-02-09T06:32:28Z
239,Tauese Tofa,Burn It Down,2021-02-08T05:44:53Z
240,AlicebanD,...like Global Warming,2021-02-05T19:14:11Z
241,Steam Powered Giraffe,Olly and the Equinox Band,2021-02-05T19:07:15Z
242,Shoe,Girls and Their Bits,2021-02-02T07:32:13Z
243,Train,50 Ways to Say Goodbye,2021-02-02T06:59:45Z
244,AlicebanD,Right to Die,2021-01-27T20:49:08Z
245,Dirt Poor Robins,Great Vacation,2021-01-26T05:02:46Z
246,AlicebanD,Trouble,2021-01-25T08:20:04Z
247,Kabaret Sybarit,Rattlesnake,2021-01-23T07:43:03Z
248,Bitter Ruin,Trust (Official Single 2011),2021-01-23T07:20:58Z
249,AlicebanD,Home,2021-01-22T06:23:25Z
250,Abney Park,Until the Day You Die,2021-01-21T07:14:08Z
251,Kid Kasino,Len the 3 Legged Dancer,2021-01-21T06:02:09Z
252,Bear Ghost,Big Town Banky Blaine's Rockabilly BBQ,2021-01-21T05:18:21Z
253,The Crane Wives,Metaphor,2021-01-19T07:56:17Z
254,Steam Powered Giraffe,I'll Rust With You,2021-01-19T07:56:16Z
255,The Real Tuesday Weld,Me and Mr Wolf,2021-01-19T07:25:46Z
256,This Way To The Egress,6 Count Swing,2021-01-19T07:20:27Z
257,The Correspondents,Fear & Delight,2021-01-17T09:41:29Z
258,Caravan of Thieves,Eat You,2021-01-17T08:32:42Z
259,The Hoosiers,Worried About Ray,2021-01-17T06:45:15Z
260,AlicebanD,Saddam,2021-01-16T08:07:26Z
261,Steam Powered Giraffe,Malfunction,2021-01-16T06:52:47Z
262,Dazey and the Scouts,Wet,2021-01-16T06:41:49Z
263,Elizabeth & the Catapult,Underwater,2021-01-16T03:00:53Z
264,Ricky Montgomery,Get Used to It,2021-01-15T07:14:02Z
265,Rasputina,Holocaust of Giants,2021-01-14T08:18:22Z
266,Blue Kid,Can You Keep Up,2021-01-14T06:05:01Z
267,AlicebanD,Maria,2021-01-13T06:50:29Z
268,Wicked Shallows,Devils Point,2021-01-12T08:35:01Z
269,The Vincent Black Shadow,Stupid Intruders,2021-01-11T03:58:42Z
270,The Crane Wives,Curses,2021-01-11T03:48:50Z
271,AlicebanD,Fire With Fire,2021-01-11T03:30:58Z
272,The Crane Wives,Take Me to War (Live),2021-01-11T02:47:08Z
273,Elizabeth & the Catapult,Momma's Boy,2021-01-08T19:22:51Z
274,Autoheart,Moscow,2021-01-08T07:46:02Z
275,Mitski,Strawberry Blond,2021-01-08T07:45:51Z
276,Mitski,Me and My Husband,2021-01-08T07:45:48Z
277,Gregory and the Hawk,Oats We Sow,2021-01-08T07:45:33Z
278,Gregory and the Hawk,Boats & Birds,2021-01-08T07:45:32Z
279,AlicebanD,Wolf,2021-01-08T07:45:24Z
280,Dirt Poor Robins,Eleanor Rigby,2021-01-08T07:41:34Z
281,The Amazing Devil,Farewell Wanderlust,2021-01-08T07:08:47Z
282,AlicebanD,Fight for Me,2021-01-08T07:05:20Z
283,AlicebanD,Dream of Better Things,2021-01-08T06:30:24Z
284,The Orion Experience,Obsessed With You,2021-01-06T20:55:28Z
285,The Hush Sound,Wine Red,2021-01-06T04:58:02Z
286,The Hush Sound,Sweet Tangerine,2021-01-06T04:57:57Z
287,S. J. Tucker,Ravens in the Library,2021-01-06T02:54:26Z
288,Dirt Poor Robins,Welcome to Lady Hell,2021-01-06T02:54:24Z
